advid,#_of_posOutcomes,SQ
25658190,7,1
25658191,2,1
25658201,1,1
25658207,0,0
25658216,0,0
25658229,1,0
25658232,1,0
25658235,4,1
25658249,0,0
25658269,1,0
25658275,1,1
25658295,0,0
25658299,4,1
25658302,4,1
25658305,0,0
25658313,0,0
25658314,0,0
25658331,0,0
25658333,2,0
25658341,3,0
25658373,1,0
25658376,1,0
25658402,1,1
25658404,0,0
25658415,0,0
25658420,2,1
25658425,2,0
25658467,0,0
25658479,0,1
25658490,0,1
25658499,2,1
25658502,0,1
25658510,0,1
25658548,0,0
25658552,1,0
25658572,0,1
25658577,0,1
25658631,0,1
25658650,0,0
25658655,0,0
25658678,0,1
25658683,1,1
25658696,4,1
25658711,0,0
25658714,0,0
25658737,0,0
25658754,0,0
25658755,1,1
25658782,13,1
25658788,0,1
25658807,4,1
25658835,0,1
25658841,0,0
25658844,0,1
25658856,0,0
25658861,0,1
25658862,0,1
25658866,0,0
25658867,1,1
25658882,0,0
25658904,6,0
25658906,0,0
25658914,0,0
25658924,0,0
25658936,15,1
25658942,0,0
25658962,0,0
25658967,5,1
25658974,26,0
25658975,0,1
25658996,0,1
25659010,0,1
25659015,0,0
25659038,0,1
25659066,0,1
25659069,3,0
25659070,0,1
25659072,1,1
25659074,0,0
25659075,9,1
25659082,0,0
25659089,27,1
25659099,1,1
25659125,0,0
25659148,6,0
25659153,2,1
25659158,10,1
25659161,0,1
25659165,16,0
25659182,0,0
25659183,1,1
25659184,2,1
25659187,0,0
25659211,0,1
25659222,5,1
25659240,4,0
25659271,0,1
25659273,0,0
25659281,0,0
25659298,0,1
25659301,0,1
25659305,0,1
25659306,0,0
25659310,3,0
25659322,0,0
25659330,7,1
25659358,1,0
25659361,0,1
25659363,1,1
25659366,0,1
25659367,0,0
25659372,0,1
25659378,1,1
25659379,110,1
25659381,20,0
25659382,0,1
25659399,1,0
25659446,3,0
25659451,1,1
25659470,0,0
25659477,68,0
25659480,4,0
25659489,0,0
25659490,1,0
25659506,3,0
25659508,0,1
25659519,1,0
25659533,0,0
25659556,1,1
25659569,1,1
25659570,24,1
25659578,14,1
25659600,0,0
25659601,2,1
25659603,9,1
25659629,0,1
25659630,1,1
25659634,0,0
25659648,0,1
25659654,0,1
25659662,2,1
25659667,0,1
25659676,2,0
25659684,0,1
25659688,0,1
25659690,0,0
25659704,1,1
25659726,0,0
25659727,0,1
25659729,0,0
25659751,0,0
25659767,4,0
25659775,0,0
25659777,0,1
25659806,1,1
25659809,1,1
25659812,0,1
25659814,2,1
25659815,0,0
25659819,0,1
25659848,1,0
25659851,3,0
25659858,1,0
25659876,1,1
25659891,0,0
25659896,4,0
25659897,18,0
25659908,12,1
25659911,2,1
25659923,0,1
25659928,5,0
25659941,0,1
25659948,0,0
25659973,0,0
25659987,0,0
25659995,4,1
25659997,74,0
25659999,0,1
25660009,0,0
25660011,1,0
25660017,28,1
25660032,2,0
25660040,1,0
25660046,0,1
25660052,0,1
25660053,0,1
25660057,0,0
25660058,0,1
25660067,0,0
25660080,2,0
25660090,0,0
25660094,0,0
25660100,0,0
25660137,0,0
25660143,1,1
25660160,0,0
25660174,1,0
25660179,0,1
25660180,0,1
25660196,1,1
25660207,0,1
25660210,13,1
25660226,1,1
25660249,3,0
25660251,0,0
25660255,0,1
